"ZipCode","Type","City","State","IsPrimaryCity"
"01301","Standard","LEYDEN","MA","0"
"01302","POBox","GREENFIELD","MA","1"
"01330","Standard","ASHFIELD","MA","1"
"01331","Standard","ATHOL","MA","1"
"01337","Standard","BERNARDSTON","MA","1"
"01337","Standard","LEYDEN","MA","0"
"01338","Standard","BUCKLAND","MA","1"
"01339","Standard","CHARLEMONT","MA","1"
"01340","Standard","COLRAIN","MA","1"
"01340","Standard","SHATTUCKVILLE","MA","0"
"01341","Standard","CONWAY","MA","1"
"01342","Standard","DEERFIELD","MA","1"
"01343","Standard","DRURY","MA","1"
"01344","Standard","ERVING","MA","1"
"01346","Standard","HEATH","MA","1"
"01346","Standard","CHARLEMONT","MA","0"
"01347","POBox","LAKE PLEASANT","MA","1"
"01349","Standard","MILLERS FALLS","MA","1"
"01350","POBox","MONROE BRIDGE","MA","1"
"01350","POBox","MONROE","MA","0"
"01351","Standard","MONTAGUE","MA","1"
"01354","Standard","GILL","MA","1"
"01354","Standard","MOUNT HERMON","MA","0"
"01354","Standard","MT HERMON","MA","0"
"01354","Standard","NORTHFIELD MOUNT HERMON","MA","0"
"01354","Standard","NORTHFIELD MT HERMON","MA","0"
"01355","Standard","NEW SALEM","MA","1"
"01360","Standard","NORTHFIELD","MA","1"
"01364","Standard","ORANGE","MA","1"
"01366","Standard","PETERSHAM","MA","1"
"01367","Standard","ROWE","MA","1"
"01368","Standard","ROYALSTON","MA","1"
"01368","Standard","S ROYALSTON","MA","0"
"01370","Standard","SHELBURNE FALLS","MA","1"
"01373","Standard","SOUTH DEERFIELD","MA","1"
"01375","Standard","SUNDERLAND","MA","1"
"01376","Standard","TURNERS FALLS","MA","1"
"01378","Standard","WARWICK","MA","1"
"01378","Standard","ORANGE","MA","0"
"01379","Standard","WENDELL","MA","1"
"01380","Standard","WENDELL DEPOT","MA","1"
"01420","Standard","FITCHBURG","MA","1"
"01430","Standard","ASHBURNHAM","MA","1"
"01431","Standard","ASHBY","MA","1"
"01432","Standard","AYER","MA","1"
"01434","Standard","DEVENS","MA","1"
"01434","Standard","AYER","MA","0"
"01436","Standard","BALDWINVILLE","MA","1"
"01438","POBox","EAST TEMPLETON","MA","1"
"01438","POBox","E TEMPLETON","MA","0"
"01440","Standard","GARDNER","MA","1"
"01441","Unique","WESTMINSTER","MA","1"
"01450","Standard","GROTON","MA","1"
"01451","Standard","HARVARD","MA","1"
"01452","Standard","HUBBARDSTON","MA","1"
"01453","Standard","LEOMINSTER","MA","1"
"01460","Standard","LITTLETON","MA","1"
"01462","Standard","LUNENBURG","MA","1"
"01463","Standard","PEPPERELL","MA","1"
"01464","Standard","SHIRLEY","MA","1"
"01464","Standard","SHIRLEY CENTER","MA","0"
"01464","Standard","SHIRLEY CTR","MA","0"
"01467","POBox","STILL RIVER","MA","1"
"01468","Standard","TEMPLETON","MA","1"
"01469","Standard","TOWNSEND","MA","1"
"01470","Unique","GROTON","MA","1"
"01471","Unique","GROTON","MA","1"
"01472","POBox","WEST GROTON","MA","1"
"01473","Standard","WESTMINSTER","MA","1"
"01474","Standard","WEST TOWNSEND","MA","1"
"01474","Standard","TOWNSEND","MA","0"
"01474","Standard","W TOWNSEND","MA","0"
"01475","Standard","WINCHENDON","MA","1"
"01477","POBox","WINCHENDON SPRINGS","MA","1"
"01477","POBox","WINCHDON SPGS","MA","0"
"01501","Standard","AUBURN","MA","1"
"01503","Standard","BERLIN","MA","1"
"01504","Standard","BLACKSTONE","MA","1"
"01505","Standard","BOYLSTON","MA","1"
"01506","Standard","BROOKFIELD","MA","1"
"01507","Standard","CHARLTON","MA","1"
"01508","POBox","CHARLTON CITY","MA","1"
"01509","POBox","CHARLTON DEPOT","MA","1"
"01509","POBox","CHARLTON DEPT","MA","0"
"01509","POBox","CHARLTON DPT","MA","0"
"01510","Standard","CLINTON","MA","1"
"01515","Standard","EAST BROOKFIELD","MA","1"
"01515","Standard","E BROOKFIELD","MA","0"
"01516","Standard","DOUGLAS","MA","1"
"01516","Standard","EAST DOUGLAS","MA","0"
"01517","POBox","EAST PRINCETON","MA","1"
"01517","POBox","E PRINCETON","MA","0"
"01518","Standard","FISKDALE","MA","1"
"01518","Standard","STURBRIDGE","MA","0"
"01519","Standard","GRAFTON","MA","1"
"01520","Standard","HOLDEN","MA","1"
"01521","Standard","HOLLAND","MA","1"
"01522","Standard","JEFFERSON","MA","1"
"01523","Standard","LANCASTER","MA","1"
"01524","Standard","LEICESTER","MA","1"
"01525","POBox","LINWOOD","MA","1"
"01526","POBox","MANCHAUG","MA","1"
"01527","Standard","MILLBURY","MA","1"
"01529","Standard","MILLVILLE","MA","1"
"01531","Standard","NEW BRAINTREE","MA","1"
"01532","Standard","NORTHBOROUGH","MA","1"
"01534","Standard","NORTHBRIDGE","MA","1"
"01535","Standard","NORTH BROOKFIELD","MA","1"
"01535","Standard","N BROOKFIELD","MA","0"
"01536","Standard","NORTH GRAFTON","MA","1"
"01537","Standard","NORTH OXFORD","MA","1"
"01538","POBox","NORTH UXBRIDGE","MA","1"
"01538","POBox","N UXBRIDGE","MA","0"
"01540","Standard","OXFORD","MA","1"
"01541","Standard","PRINCETON","MA","1"
"01542","Standard","ROCHDALE","MA","1"
"01543","Standard","RUTLAND","MA","1"
"01545","Standard","SHREWSBURY","MA","1"
"01546","Unique","SHREWSBURY","MA","1"
"01550","Standard","SOUTHBRIDGE","MA","1"
"01560","Standard","SOUTH GRAFTON","MA","1"
"01561","POBox","SOUTH LANCASTER","MA","1"
"01562","Standard","SPENCER","MA","1"
"01564","Standard","STERLING","MA","1"
"01566","Standard","STURBRIDGE","MA","1"
"01568","Standard","UPTON","MA","1"
"01569","Standard","UXBRIDGE","MA","1"
"01570","Standard","WEBSTER","MA","1"
"01570","Standard","DUDLEY HILL","MA","0"
"01571","Standard","DUDLEY","MA","1"
"01580","Unique","WESTBOROUGH","MA","1"
"01581","Standard","WESTBOROUGH","MA","1"
"01582","Unique","WESTBOROUGH","MA","1"
"01583","Standard","WEST BOYLSTON","MA","1"
"01585","Standard","WEST BROOKFIELD","MA","1"
"01586","POBox","WEST MILLBURY","MA","1"
"01586","POBox","MILLBURY","MA","0"
"01588","Standard","WHITINSVILLE","MA","1"
"01590","Standard","SUTTON","MA","1"
"01590","Standard","WILKINSONVILE","MA","0"
"01590","Standard","WILKINSONVILLE","MA","0"
"01601","POBox","WORCESTER","MA","1"
"01602","Standard","WORCESTER","MA","1"
"01603","Standard","WORCESTER","MA","1"
"01604","Standard","WORCESTER","MA","1"
"01605","Standard","WORCESTER","MA","1"
"01606","Standard","WORCESTER","MA","1"
"01607","Standard","WORCESTER","MA","1"
"01608","Standard","WORCESTER","MA","1"
"01609","Standard","WORCESTER","MA","1"
"01610","Standard","WORCESTER","MA","1"
"01611","Standard","CHERRY VALLEY","MA","1"
"01612","Standard","PAXTON","MA","1"
"01612","Standard","WORCESTER","MA","0"
"01613","POBox","WORCESTER","MA","1"
"01614","POBox","WORCESTER","MA","1"
"01615","POBox","WORCESTER","MA","1"
"01653","Unique","WORCESTER","MA","1"
"01654","Unique","WORCESTER","MA","1"
