Lender,MonthApproved,AVG(JobsReported)
"FIRST UNITED BANK AND TRUST COMPANY",APRIL,1.0
"FOUNTAINHEAD SBF LLC",AUGUST,1.0
"FROST BANK",MAY,1.0
"FUNDBOX, INC.",AUGUST,1.0
"FUNDBOX, INC.",JULY,1.0
"FUNDBOX, INC.",JUNE,1.0
FVCBANK,APRIL,1.0
"GEORGIA'S OWN CU",MAY,1.0
"GREAT WESTERN BANK",APRIL,1.0
"GREAT WESTERN BANK",JUNE,1.0
"GREATER NEVADA CU",JUNE,1.0
"HARVEST SMALL BUSINESS FINANCE, LLC",MAY,1.0
"HAWAII CENTRAL FCU",MAY,1.0
"HAWAII COMMUNITY FCU",JUNE,1.0
"HAWAII FIRST FCU",JUNE,1.0
"IDAHO FIRST BANK",MAY,1.0
"ITRIA VENTURES LLC",JULY,1.0
"ITRIA VENTURES LLC",JUNE,1.0
"ITRIA VENTURES LLC",MAY,1.0
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",JULY,1.0
"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION",JUNE,1.0
"KEYBANK NATIONAL ASSOCIATION",APRIL,1.0
"LIVE OAK BANKING COMPANY",APRIL,1.0
"LIVE OAK BANKING COMPANY",JULY,1.0
"LIVE OAK BANKING COMPANY",MAY,1.0
"MEGA BANK",JUNE,1.0
"MICHIGAN STATE UNIVERSITY FCU",JULY,1.0
"MIDFIRST BANK",APRIL,1.0
"MUFG UNION BANK, NATIONAL ASSOCIATION",MAY,1.0
"NAVY FCU",APRIL,1.0
"NAVY FCU",AUGUST,1.0
"NAVY FCU",JULY,1.0
"NAVY FCU",JUNE,1.0
"NAVY FCU",MAY,1.0
"NBKC BANK",APRIL,1.0
"NBKC BANK",MAY,1.0
"NCMIC FINANCE CORPORATION",JUNE,1.0
"NEWTEK SMALL BUSINESS FINANCE, INC.",APRIL,1.0
"NEWTEK SMALL BUSINESS FINANCE, INC.",AUGUST,1.0
"NEWTON FEDERAL BANK",MAY,1.0
"NORTHWEST FCU",JULY,1.0
"NOTRE DAME FCU",APRIL,1.0
"PACIFIC PREMIER BANK",APRIL,1.0
"PEOPLE'S BANK OF SENECA",MAY,1.0
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",APRIL,1.0
"PHELPS COUNTY BANK",APRIL,1.0
"PINPOINT FCU",MAY,1.0
"PRESTAMOS CDFI, LLC",JULY,1.0
"RADIUS BANK",APRIL,1.0
"RADIUS BANK",AUGUST,1.0
"REDWOOD CU",MAY,1.0
"REGIONS BANK",MAY,1.0
"SMALL BUSINESS BANK",JULY,1.0
"SMALL BUSINESS BANK",MAY,1.0
"SOUTHERNTRUST BANK",MAY,1.0
"SUMMIT BANK",APRIL,1.0
"T BANK, NATIONAL ASSOCIATION",MAY,1.0
"TERRITORIAL SAVINGS BANK",JULY,1.0
"THE CANANDAIGUA NATIONAL BANK AND TRUST COMPANY",JULY,1.0
"TIAA BANK, A DIVISION OF",APRIL,1.0
"TIAA BANK, A DIVISION OF",MAY,1.0
"TRANSPECOS BANKS, SSB.",MAY,1.0
"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK, INC.",APRIL,1.0
"TRANSPORTATION ALLIANCE BANK, INC. D/B/A TAB BANK, INC.",MAY,1.0
"TRUIST BANK D/B/A BRANCH BANKING & TRUST CO",APRIL,1.0
"TRUIST BANK D/B/A BRANCH BANKING & TRUST CO",JULY,1.0
"TRUSTMARK NATIONAL BANK",APRIL,1.0
"UMPQUA BANK",AUGUST,1.0
"UMPQUA BANK",MAY,1.0
"UNITED METHODIST FCU",JULY,1.0
"UNITED METHODIST FCU",MAY,1.0
"VALLEY ISLE COMMUNITY FCU",JUNE,1.0
"VALLEY ISLE COMMUNITY FCU",MAY,1.0
"WASHINGTON TRUST BANK",APRIL,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",APRIL,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",AUGUST,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",JULY,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",JUNE,1.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",MAY,1.0
"ZIONS BANK, A DIVISION OF",JUNE,1.0
