Lender,MonthApproved,AvgPerJobAmount
"FIRST HAWAIIAN BANK",MAY,9323.14891822487
"FROST BANK",MAY,9300.0
"HAWAIIUSA FCU",APRIL,9295.08956147348
"GBC INTERNATIONAL BANK",APRIL,9266.0
"VIBRANT CU",MAY,9225.0
"FIVE STAR BANK",APRIL,9200.0
"CROSS RIVER BANK",MAY,9199.3907518797
"AMERICAN SAVINGS BANK, FSB",APRIL,9167.70141389517
"COASTHILLS CU",APRIL,9070.0
"HAWAIIUSA FCU",JULY,9046.37261111111
"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",APRIL,9035.0
"D. L. EVANS BANK",APRIL,9016.5
"1ST FINANCIAL BANK USA",JUNE,9015.0
"FIRST BANK & TRUST",APRIL,9000.0
"AMERICAN SAVINGS BANK, FSB",MAY,8902.98640996602
"TCF NATIONAL BANK",APRIL,8890.08333333333
"KABBAGE, INC.",AUGUST,8874.23255813953
"GATHER FCU",AUGUST,8827.36680555556
"CROSS RIVER BANK",JULY,8820.6581622458
"KABBAGE, INC.",JUNE,8808.36305732484
"CROSS RIVER BANK",AUGUST,8787.03276
"BANK OF THE PACIFIC",APRIL,8750.0
"RURAL COMMUNITY ASSISTANCE CORPORATION",APRIL,8719.53666666667
"PHELPS COUNTY BANK",APRIL,8713.915
"BANK OF AMERICA, NATIONAL ASSOCIATION",JUNE,8672.33333333333
"AXOS BANK",APRIL,8669.83333333333
"ZIONS BANK, A DIVISION OF",APRIL,8661.33333333333
"NORTHEAST BANK",JUNE,8652.33333333333
"HAWAIIUSA FCU",MAY,8604.51290909091
"UNITED COMMUNITY BANK",APRIL,8600.0
"HAWAII FIRST FCU",APRIL,8495.20689655172
"HOMESTREET BANK",JUNE,8494.5
"KABBAGE, INC.",JULY,8474.12138728324
"FIRST HOME BANK",JUNE,8430.53846153846
"KABBAGE, INC.",MAY,8391.6443373494
"GEORGIA'S OWN CU",MAY,8357.5
"GATHER FCU",JUNE,8245.3675
"MBE CAPITAL PARTNERS",AUGUST,8227.5
"INTUIT FINANCING INC.",APRIL,8135.33333333333
"TCF NATIONAL BANK",MAY,8120.76833333333
"U.S. BANK, NATIONAL ASSOCIATION",APRIL,8114.0
BANCFIRST,APRIL,8057.0
"CONTINENTAL BANK",MAY,8000.0
"HAWAII CENTRAL FCU",APRIL,7971.20083333333
"READYCAP LENDING, LLC",APRIL,7959.7
"CUSTOMERS BANK",JUNE,7914.42307692308
"HAWAIIUSA FCU",AUGUST,7858.18309206349
"CONNECTIONS BANK",APRIL,7858.0
"WELLS FARGO BANK, NATIONAL ASSOCIATION",APRIL,7854.0
"FIRST BANK",APRIL,7844.0
"HOMESTREET BANK",APRIL,7842.0
"OHANA PACIFIC BANK",MAY,7808.57627118644
"HAWAIIUSA FCU",JUNE,7800.8299078341
BANCFIRST,JUNE,7800.0
"KAUA'I GOVERNMENT EMPLOYEES' FCU",JUNE,7727.69840909091
"HAWAII NATIONAL BANK",MAY,7675.07798165138
"FIRST COMMONWEALTH BANK",APRIL,7600.0
"CACHE VALLEY BANK",MAY,7563.75
"RURAL COMMUNITY ASSISTANCE CORPORATION",MAY,7500.0
"COMMONWEALTH BUSINESS BANK",APRIL,7397.0
"TRANSPECOS BANKS, SSB.",APRIL,7350.0
"GREAT WESTERN BANK",JUNE,7347.0
WEBBANK,JUNE,7314.08163265306
"COMMUNITY COMMERCE BANK",JUNE,7300.0
"CELTIC BANK CORPORATION",MAY,7231.88920698465
"OHANA PACIFIC BANK",APRIL,7231.05128205128
"CROSS RIVER BANK",APRIL,7227.61094827586
"FOUNTAINHEAD SBF LLC",JUNE,7204.0
"ACADEMY BANK, NATIONAL ASSOCIATION",APRIL,7202.5
"HAWAII COMMUNITY FCU",APRIL,7170.28220963995
"CUSTOMERS BANK",JULY,7125.5
"FIRST HORIZON BANK",APRIL,7021.0
"INTUIT FINANCING INC.",JULY,6840.0
"CENTRAL BANK OF THE MIDWEST",MAY,6800.0
"HAWAII COMMUNITY FCU",MAY,6653.57762965368
"COMPEER FINANCIAL, ACA",APRIL,6516.75
"INTUIT FINANCING INC.",JUNE,6471.5
"KISH BANK",APRIL,6427.5
"CRF SMALL BUSINESS LOAN COMPANY, LLC",JULY,6400.0
"ITRIA VENTURES LLC",MAY,6392.0
"HAWAII COMMUNITY FCU",AUGUST,6349.47194805195
