City,JobTitle,COUNT(LoanAmount)
WAILUKU,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",10
WAILUKU,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",10
WAIPAHU,"JANITORIAL SERVICES",10
AIEA,"OTHER ACTIVITIES RELATED TO REAL ESTATE",9
AIEA,"RESIDENTIAL REMODELERS",9
"EWA BEACH","FULL-SERVICE RESTAURANTS",9
"EWA BEACH","JANITORIAL SERVICES",9
HAIKU,"INDEPENDENT ARTISTS, WRITERS, AND PERFORMERS",9
HALEIWA,"FULL-SERVICE RESTAURANTS",9
HILO,"OTHER ACCOUNTING SERVICES",9
HILO,"OTHER ACTIVITIES RELATED TO REAL ESTATE",9
HONOLULU,"ALL OTHER OUTPATIENT CARE CENTERS",9
HONOLULU,"BUSINESS ASSOCIATIONS",9
HONOLULU,"CONFECTIONERY AND NUT STORES",9
HONOLULU,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",9
HONOLULU,"FRUIT AND VEGETABLE MARKETS",9
HONOLULU,"MISCELLANEOUS FINANCIAL INVESTMENT ACTIVITIES",9
HONOLULU,"MUSICAL INSTRUMENT AND SUPPLIES STORES",9
HONOLULU,"OTHER BUILDING FINISHING CONTRACTORS",9
HONOLULU,"OTHER GRANTMAKING AND GIVING SERVICES",9
HONOLULU,"OTHER RESIDENTIAL CARE FACILITIES",9
HONOLULU,"PHARMACIES AND DRUG STORES",9
HONOLULU,"PORTFOLIO MANAGEMENT",9
HONOLULU,"SCENIC AND SIGHTSEEING TRANSPORTATION, LAND",9
HONOLULU,"SOFTWARE PUBLISHERS",9
HONOLULU,"SOYBEAN FARMING",9
HONOLULU,"VENDING MACHINE OPERATORS",9
KAHULUI,"FULL-SERVICE RESTAURANTS",9
KAHULUI,"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",9
KAILUA,"ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES",9
KAILUA,"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",9
KAILUA,"OTHER MANAGEMENT CONSULTING SERVICES",9
KAILUA,"RESIDENTIAL PROPERTY MANAGERS",9
"KAILUA KONA","ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES",9
"KAILUA KONA","ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",9
"KAILUA KONA","LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS",9
"KAILUA KONA","OFFICES OF CHIROPRACTORS",9
"KAILUA KONA","PAINTING AND WALL COVERING CONTRACTORS",9
"KAILUA KONA","PHOTOGRAPHY STUDIOS, PORTRAIT",9
KAMUELA,"LIMITED-SERVICE RESTAURANTS",9
KANEOHE,"NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS)",9
KAPAA,"ALL OTHER PERSONAL SERVICES",9
KAPAA,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",9
KAPOLEI,"ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS",9
KAPOLEI,"INSURANCE AGENCIES AND BROKERAGES",9
KAPOLEI,"RESIDENTIAL REMODELERS",9
KIHEI,"ALL OTHER MISCELLANEOUS STORE RETAILERS (EXCEPT TOBACCO STORES)",9
KIHEI,"OFFICES OF PHYSICIANS (EXCEPT MENTAL HEALTH SPECIALISTS)",9
LAHAINA,,9
LAHAINA,"ART DEALERS",9
LAHAINA,"NAIL SALONS",9
LAHAINA,"TOUR OPERATORS",9
MAKAWAO,"OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS",9
MILILANI,"BEAUTY SALONS",9
"PEARL CITY","OFFICES OF DENTISTS",9
WAIANAE,"GENERAL FREIGHT TRUCKING, LOCAL",9
WAIANAE,"LIMITED-SERVICE RESTAURANTS",9
